terminal,lat,long
2,37.329732,-121.901782
3,37.330698,-121.888979
4,37.333988,-121.894902
5,37.331415,-121.8932
6,37.336721,-121.894074
7,37.333798,-121.886943
8,37.330165,-121.885831
9,37.348742,-121.894715
10,37.337391,-121.886995
11,37.335885,-121.88566
12,37.332808,-121.883891
13,37.339301,-121.889937
14,37.332692,-121.900084
16,37.333955,-121.877349
21,37.481758,-122.226904
22,37.486078,-122.232089
23,37.487616,-122.229951
24,37.484219,-122.227424
25,37.48537,-122.203288
26,37.487682,-122.223492
27,37.389218,-122.081896
28,37.394358,-122.076713
29,37.40694,-122.106758
30,37.390277,-122.066553
31,37.400443,-122.108338
32,37.385956,-122.083678
33,37.400241,-122.099076
34,37.443988,-122.164759
35,37.444521,-122.163093
36,37.429082,-122.142805
37,37.448598,-122.159504
38,37.4256839,-122.1377775
39,37.783871,-122.408433
41,37.795001,-122.39997
42,37.79728,-122.398436
45,37.794230999999996,-122.402923
46,37.795425,-122.404767
47,37.788975,-122.403452
48,37.799953,-122.398525
49,37.790302,-122.390637
50,37.795392,-122.394203
51,37.791464,-122.391034
54,37.787152,-122.388013
55,37.789756,-122.394643
56,37.792251,-122.397086
57,37.781752,-122.405127
58,37.77865,-122.418235
59,37.781332,-122.418603
60,37.80477,-122.403234
61,37.780526,-122.390288
62,37.785299,-122.396236
63,37.786978,-122.398108
64,37.782259,-122.392738
65,37.771058,-122.402717
66,37.774814,-122.418954
67,37.776619,-122.417385
68,37.784878,-122.401014
69,37.7766,-122.39547
70,37.776599,-122.39528
71,37.788446,-122.408499
72,37.781039,-122.411748
73,37.798522,-122.407245
74,37.794139,-122.394434
75,37.7913,-122.399051
76,37.786305,-122.404966
77,37.789625,-122.400811
80,37.352601,-121.905733
82,37.798541,-122.400862
83,37.491269,-122.236234
84,37.342725,-121.895617